,name,lat,long
0,10/16  ART GALLERY,30.74824,76.78451
1,16/10  ROSE GARDEN,30.74819,76.78425
2,Sector 17/16 near Matka Chowk,30.7458,76.78462
3,Sector 10/09 near Matka Chowk,30.74782,76.7874
4,Sector 16/17 near Matka Chowk,30.7456,76.78395
5,Sector 9D/17,30.74545,76.78683
6,Sector 16/10 General Hospital,30.75143,76.7816
7,Sector 10/16 General Hospital,30.75156,76.78185
8,UT Secretariat Towards ISBT 43,30.74913,76.78968
9,Sector 9/17,30.74442,76.78766
10,12/11 (Rally Chowk),30.68036,76.8523
11,Sector 11/12 Rally Chowk Panchkula,30.6805,76.85212
12,Sector 12 Panchkula (Down),30.68343,76.85539
13,Sector 11/10 Panchkula,30.68787,76.85056
14,Sector 4/11,30.6874,76.85599
15,Sector 11/4,30.68784,76.85546
16,Sector 12 Panchkula (Up),30.684,76.86119
17,Sector 10/15 Panchkula,30.68781,76.84431
18,Sector 15/10 Panchkula,30.68774,76.84412
19,Sector 21 Market Panchkula,30.67555,76.86416
20,17 chowk,30.73342,76.77971
21,Sector 21A/22,30.73263,76.77851
22,Sector 17/18,30.73432,76.78109
23,ISBT 17 (Sector 22/17),30.73506,76.77998
24,Sector 18/21,30.73124,76.78176
25,ISBT 17,30.73637,76.77837
26,Sector 22/17,30.73597,76.7774
27,Sector 21/22 Aroma,30.73074,76.77586
28,Sector 21/18,30.72973,76.78282
29,Aroma,30.7306,76.77496
30,39 Grain Market,30.74417,76.72341
31,Sector 39/56,30.74199,76.72335
32,Sector 56/39,30.74122,76.7237
33,Maloya Mod/Anaj Mandi Towards Maloya,30.74662,76.72703
34,Maloya Mod/Anaj Mandi Towards Water Works,30.74701,76.7271
35,Sector 39 Market,30.74344,76.7287
36,Sec-39/Water Works--13 C,30.7472,76.72812
37,Sec-39/Water Works--13 A Towards ISBT 43,30.74698,76.72843
38,Sector 39/40 Towards Sector 25 West,30.73968,76.73054
39,Sector 40/39,30.73979,76.7314
40,3 BRD (Base Repair Depot),30.68861,76.78544
41,Ram Darbar,30.69344,76.78826
42,Industrial Area Phase 2,30.69591,76.78643
43,Fire Brigade Phase-2 Towards Ramdarbar,30.69655,76.78643
44,Fire Brigade Phase-2 Towards Sector 31,30.69668,76.78634
45,Kaali Baari Mandir towards 47,30.69511,76.77899
46,Kaali Baari Mandir towards 3BRD,30.69551,76.77887
47,Industrial Area Phase 2 in front Tata Motors,30.69905,76.78505
48,Industrial Area Phase 2 near passport office,30.69934,76.78482
49,Sector 47 Outer Towards Ramdarbar,30.69254,76.77154
50,48 Motor Market/Jagatpura-,30.68565,76.76065
51,Jagatpura/ 48 Motor Market,30.68547,76.76079
52,Faidan Village,30.68844,76.76542
53,Sector 48/49 (U.T. Border) (Down),30.68778,76.74991
54,Sector 48/49 (UT Border) (Up),30.68787,76.74983
55,Sector 49 Market (UP),30.69349,76.75301
56,Sector 47 Market - Up,30.69573,76.7698
57,Sector 47 Market (Down),30.69639,76.76869
58,Sector 65/Phase 11,30.67692,76.74873
59,Sector 41/40 Market,30.7332,76.73481
60,Sector 41 Market Towards 40,30.73199,76.73793
61,Sector 41/40,30.73508,76.73799
62,Sector 41 Market Towards 42,30.73149,76.73837
63,Sector 40/41,30.73529,76.73782
64,Sector 40C/41,30.73172,76.73233
65,Sector 41/42,30.73019,76.74052
66,Sector 40 Market,30.73807,76.73341
67,Sector 41A/40B,30.73729,76.74134
68,Furniture Chowk(UT Border),30.72729,76.73384
69,Mauli Jagran,30.68816,76.82378
70,Sector 17/8 Panchkula,30.69937,76.83945
71,Sector 8/17 Panchkula,30.69939,76.83959
72,Railway Station (Chandigarh),30.70261,76.81909
73,Sector 16/9 Panchkula,30.69384,76.84093
74,Bell Factory,30.68658,76.83427
75,Sector 9/16 Panchkula,30.69389,76.84115
76,Kalagram Up,30.70827,76.83086
77,Raipur Kalan (U.T. Border),30.6846,76.82701
78,Housing Board Chowk Towards ISBT 43,30.7076,76.83548
79,Vikas Nagar,30.69008,76.81407
80,Colony No. 4,30.70052,76.80334
81,CTU Depot 2,30.71025,76.81256
82,CTU Workshop,30.71101,76.81358
83,CTU Workshop (UP),30.71099,76.8117
84,Railway Crossing Towards 28 Grain Market,30.7125,76.8205
85,Railway Crossing towards Railway Station,30.71185,76.82229
86,Railway Crossing Towards Manimajra,30.7124,76.82295
87,Aero City Block D,30.64933,76.74038
88,Manav International School,30.64585,76.74016
89,Sector 82,30.65544,76.73961
90,Amity University,30.643,76.7382
91,Sector 82/66A,30.65609,76.73885
92,Sector 66A/82,30.65624,76.73909
93,Sector 82A,30.63836,76.73367
94,Sector 83/Saini Majra,30.64867,76.72541
95,New Airport Chowk- Mohali (Up),30.64401,76.75549
96,Sector 82/81,30.66287,76.73339
97,Air Force Station,30.6491,76.78964
98,Dayalpura,30.63941,76.78723
99,Nabha Village,30.64192,76.8008
100,Victoria Enclave Zirakpur,30.65212,76.80331
101,Nabha Sahib,30.64164,76.80126
102,Bhabat,30.65498,76.80408
103,Nabha Sahib (Down),30.64016,76.80429
104,Lohgarh,30.64437,76.80773
105,New Airport,30.66836,76.78508
106,Jhurheri,30.66798,76.77983
107,Sector 41/37,30.73455,76.74489
108,Attawa/Sector 36/42,30.73072,76.74798
109,Sector 37/41,30.73553,76.74441
110,Attawa/Sector 42/36,30.72978,76.7487
111,Sector 37/36,30.73301,76.7488
112,SGGS-26 Girls College,30.73134,76.81019
113,BACK SIDE POLICE LINE Sector 26,30.72707,76.81359
114,SGGS-26 College,30.73255,76.80957
115,"SGGS COLLEGIATE PUBLIC SCHOOL, SECTOR-26, Chandigarh",30.73249,76.8086
116,Sector 27/26,30.72576,76.80446
117,Sector 26/27,30.72719,76.80326
118,Sector 26/28 Grain Market,30.72252,76.8079
119,Sector 28/26 Grain Market,30.7224,76.80765
120,Sector 27A/19,30.72839,76.80047
121,Sector 19/27A,30.72851,76.80038
122,IT Park Up,30.72975,76.84327
123,Mata Mansa Devi,30.72377,76.85816
124,Indira Colony Up,30.7202,76.84075
125,Kishangarh Up,30.73101,76.83227
126,Indira Colony Down,30.72022,76.83785
127,Saketri,30.74624,76.84447
128,Kishangarh Down,30.73093,76.83029
129,Mani Majra Fun Republic(UP),30.71421,76.84435
130,Mani Majra,30.71343,76.84331
131,Mani Majra Town,30.71971,76.82995
132,Depot 3 Workshop,30.75378,76.74884
133,Daddu Majra Colony,30.75456,76.74626
134,Sector 38/25 Light Point,30.75071,76.74856
135,Sector 24/25,30.74837,76.75907
136,Sector 25/24,30.74781,76.75808
137,Sector 25/38 Light Point,30.74733,76.75227
138,DM Bridge,30.75818,76.74405
139,Sector 38/25,30.74712,76.75196
140,Dhanas near Bridge,30.76078,76.74459
141,Sector 25 near Dental College,30.74624,76.75545
142,Attawa Chowk towards 43,30.7252,76.75063
143,Attawa Chowk towards Kissan Bhawan,30.72648,76.75259
144,Sector 42/43,30.72284,76.74663
145,Sector 43/42-,30.72191,76.74645
146,Sector 43C,30.71976,76.74816
147,Sector 43/42,30.72191,76.74554
148,Sector 42 Market towards ISBT 43,30.72468,76.744
149,Sector 35/36 Flower Market,30.72877,76.75648
150,Sector 42 Market towards Sector 41,30.72539,76.74331
151,Sector 33/34 Labour chowk,30.71969,76.77228
152,Sector 34/21,30.72143,76.77233
153,Sector 20/33,30.71934,76.77462
154,Sector 34/33,30.71675,76.76719
155,Sector 33/34,30.71656,76.76736
156,Sector 34 Market,30.72028,76.76514
157,Sector 21/34,30.72513,76.76961
158,Sector 33 Market,30.71425,76.76931
159,Sector 34A/35B JW Marriot,30.72477,76.76619
160,Sector 35B/34A JW Marriot,30.72513,76.76632
161,Kalagram Down,30.7097,76.82869
162,Housing Board Chowk,30.70811,76.83675
163,Housing Board Towards 9/16,30.70717,76.83773
164,Modern Complex,30.71616,76.83102
165,Housing Board Chowk Towards Panchkula,30.70901,76.83895
166,Mani Majra Fun Republic,30.71211,76.84389
167,Sector 7/8 Panchkula,30.703,76.84338
168,Ambika Florence,30.81433,76.71292
169,Rasulpur,30.81044,76.71691
170,Omaxe Phase-1/2,30.81224,76.70558
171,Omax Phase-II,30.80941,76.70632
172,Doda Majra,30.81014,76.72105
173,Rani Majra,30.80863,76.703
174,Risort Lake,30.82223,76.72588
175,Saini Majra,30.80088,76.70673
176,DLF Chowk,30.81069,76.73015
177,Eco City-2 Block C Takipur,30.82979,76.71605
178,Manauli,30.64243,76.7236
179,HDFC Head Office Chowk,30.63455,76.72671
180,Dadu Majra Village,30.75939,76.73487
181,Dadu Majra Colony,30.75402,76.73659
182,Sector 38 West,30.75279,76.73758
183,Togan,30.76736,76.73254
184,Sector 38/39,30.74835,76.73513
185,Sector 39/38 west,30.74746,76.73553
186,Milk Colony Towards Barrier,30.76472,76.74688
187,Maloya,30.7522,76.7176
188,New Maloya Colony,30.75985,76.71566
189,Phase-6 (U.T Border) C,30.73847,76.71495
190,Phase-6 (U.T Border) A,30.7382,76.71463
191,Phase 6 - 35,30.73747,76.71565
192,Sector 55 Phase 1 (35),30.7323,76.71916
193,Sector 55/Phase-1,30.73123,76.71999
194,Hallo Majra (UP),30.69384,76.79988
195,Hallo Majra (Down),30.69408,76.80027
196,Paultry Farm,30.69604,76.8001
197,Tribune Chowk / Industrial Phase 1/2,30.70167,76.79236
198,Industrial Area Phase 2/Phase 1,30.7017,76.79192
199,Transport Chowk (Up),30.71674,76.81352
200,Transport Chowk (Down),30.71822,76.81189
201,Sector 28 Petrol Pump (Up),30.71504,76.80811
202,Sector 28 Petrol Pump (Down),30.7152,76.80779
203,Industrial Area Phase-1,30.71393,76.8087
204,Sector 14/15,30.75477,76.76917
205,Sector 15/14,30.75578,76.7709
206,PGI,30.76222,76.77324
207,Sector 15/24,30.74999,76.76614
208,Sector 24/15,30.74929,76.76646
209,PGI(UP),30.75947,76.77541
210,Sector 15 market,30.75199,76.77281
211,Sector 11/15,30.75663,76.77767
212,Sector 21 Market,30.72658,76.77692
213,Sector 22C(UP/DOWN),30.72735,76.76997
214,Sector 36B/36C,30.73012,76.75683
215,Sector 36 Market,30.73139,76.75494
216,Sector 36/35 Flower Market,30.72979,76.75773
217,Sector 36/37,30.73495,76.75191
218,New Airport Chowk- Mohali (Down),30.64119,76.75491
219,Chatt Morr,30.62509,76.79226
220,Chatt Village,30.6138,76.79018
221,Balongi,30.73351,76.6954
222,ISBT Mohali,30.73183,76.70561
223,Daun (Up),30.73823,76.68223
224,Daun (Down),30.73797,76.68208
225,KFC,30.74106,76.67507
226,Baltana,30.66808,76.82636
227,Govind Vihar,30.66558,76.82591
228,Zirakpur Bus Stand,30.65917,76.82125
229,Zirakpur (Down),30.65884,76.82052
230,Harmilap Nagar,30.67944,76.82526
231,Zirakpur (Up),30.65744,76.82091
232,P.B. Border,30.68217,76.82532
233,Raipur Khurd Towards Zirakpur,30.67581,76.80971
234,Raipur Khurd,30.67808,76.80831
235,Bansepur/Omaxe Cassia,30.79041,76.7131
236,Tida Cricket Stadium New,30.77887,76.7213
237,SECTOR 46/47,30.69882,76.76729
238,Bassi Light Point(U.T. Barrier),30.72173,76.7305
239,Sector 52/53,30.71765,76.73477
240,Sector 53/42,30.72363,76.73654
241,Sector 42/53,30.72394,76.73673
242,Madanpur (Up),30.71809,76.72481
243,Sector 53 near school,30.71556,76.73333
244,Madanpur (Down),30.7171,76.72338
245,Sector 53A near Mohali Barrier,30.71319,76.7313
246,Palsora (Chandigarh),30.73021,76.72744
247,Behlana Old Airport,30.67522,76.79857
248,Bella Homes,30.60208,76.84867
249,Focal Point/Silver City,30.60775,76.85007
250,CVRM DAV School,30.59567,76.84712
251,Bhankarpur (Down),30.60672,76.83736
252,Bhankarpur (Up),30.6066,76.83722
253,Mubarkpur,30.61309,76.85136
254,Tanki Mod,30.61676,76.85737
255,Dera Bassi,30.58516,76.84404
256,Singhpura (Down),30.62683,76.82402
257,Platinum Homes/Sanauli,30.63673,76.8461
258,Bhago Majra,30.67326,76.67115
259,Landran (Up),30.69061,76.66342
260,Landran (Down),30.69139,76.66531
261,Lakhnaur,30.69476,76.68441
262,Lakhnaur (DC Office Mohali),30.69387,76.69042
263,Saneta,30.64181,76.685
264,Sohana,30.69122,76.70987
265,Chappar Chiri,30.70927,76.65721
266,Sohana Light Point,30.69039,76.7123
267,Sector 79/68,30.68349,76.71746
268,Singhpura (UP),30.63186,76.82333
269,Bird Park,30.74727,76.80786
270,Sukhna Lake,30.74335,76.80886
271,Rock garden towards lake,30.75133,76.8044
272,U.T. GUEST HOUSE,30.74232,76.80952
273,Rock garden Towards Sectt.,30.75194,76.80387
274,MLA Flats (Down),30.75522,76.79943
275,MLA Flats (Up),30.7547,76.79857
276,High Court (Up & Down),30.7578,76.80278
277,Sector 9 Market (Down),30.74732,76.79394
278,Sector 9 Market (Up),30.74784,76.79356
279,Block,30.83393,76.67339
280,Boothgarh/Kartarpur,30.83416,76.68856
281,Brodhi,30.83367,76.63524
282,Eco City-2 Block D,30.83555,76.71589
283,Majra/Siswan T/P,30.84587,76.72057
284,Sector 63/62(U.T. Border),30.69837,76.73823
285,Sector 62/63(U.T. Border),30.69859,76.73811
286,Sector 50C/49D(U.T. Border),30.69425,76.74563
287,Sector 49D/50C (U.T. Border),30.69414,76.74571
288,Sector 63/64,30.69056,76.73989
289,Sector 63/Phase-9,30.69264,76.73473
290,P.S.E.B. Sector 62,30.69587,76.73401
291,Sector 64/63,30.68859,76.73669
292,Fortis-PSEB (Down),30.69608,76.73193
293,Sector 64 Market/Phase 10,30.68785,76.73837
294,Hoshiarpur,30.83573,76.72421
295,Sector 45/44 Towards ISBT 43,30.7105,76.75741
296,Sector 45/44 Up Towards Sukhna Lake,30.70892,76.75603
297,Sector 44/45,30.70886,76.75462
298,Sector 45A/44B,30.71296,76.76139
299,Sector 44 Market towards 45,30.71319,76.75247
300,Sector 44 market towards 43,30.71315,76.75239
301,Sector 45D/44,30.70756,76.75282
302,Sector 45 Market,30.70595,76.75744
303,Sector 44C Gaushala,30.70718,76.75209
304,Sector 43/44,30.71647,76.7524
305,Fatehpur,30.83184,76.61245
306,Kurali,30.83061,76.58182
307,Cantonment,30.72137,76.87465
308,Old Panchkula (PKL),30.70714,76.87327
309,Tank Chowk,30.7074,76.86459
310,Command Hospital (Down),30.71087,76.85463
311,Command Hospital (Up),30.71071,76.85432
312,Majri Chowk,30.69965,76.87275
313,Nada Sahib,30.69501,76.88289
314,Geeta Bhawan Chowk,30.70317,76.85024
315,Mini Secretariat (Up),30.75087,76.79264
316,UT Secretariat Towards High Court,30.74989,76.79088
317,Mini Secretariat (Down),30.75188,76.79404
318,Sector 17/9 K.C (Down),30.74311,76.78887
319,Sector 17/9 K.C (Up),30.74179,76.78975
320,Elante Mall (Up),30.70515,76.79725
321,Elante Mall (Down),30.70589,76.79668
322,Sector 50/45,30.70366,76.75335
323,Sector 44/51(Colony No. 5),30.70893,76.74899
324,Sector 51/44(Colony No. 5),30.70886,76.74851
325,Santemajra,30.72083,76.65271
326,Desu Majra,30.74144,76.6712
327,Chhattbir ZOO,30.60785,76.79447
328,Chawala Hospital Chowk (Down),30.70843,76.7239
329,Phase-7 (Up),30.70383,76.72676
330,Phase-7 (Down),30.70394,76.72697
331,YPS/Sector 61/52,30.709,76.73128
332,YPS/Sector 52/61,30.70928,76.73132
333,Phase-3/5 (Down),30.71442,76.71924
334,Phase-3/5 (Up),30.71401,76.7181
335,Sector 61/62,30.7016,76.7284
336,Sector 62/61,30.70192,76.72948
337,Sector 23 Market,30.73799,76.76666
338,Sector 23/36,30.73762,76.7595
339,Sector 36/23 Kissan bhawan,30.73404,76.76194
340,Sector 23/22,30.73563,76.76723
341,Kishan bhavan,30.73294,76.76302
342,Sector 22/23,30.73678,76.76913
343,Sector 36/35 Kissan Bhawan,30.73256,76.76217
344,Sector 35/36 Kissan bhawan,30.73243,76.76231
345,Sector 23/24 Chandigarh,30.74276,76.76179
346,Sector 22/35,30.73174,76.7639
347,Sector 29/ Industrial Area Phase-1,30.71049,76.80008
348,Industrial Area Phase -1/ Sector 28,30.71124,76.80204
349,Dhanas (Down),30.76946,76.75026
350,Dhanas (Up),30.76975,76.74999
351,Dhanas Colony,30.7749,76.7527
352,Sarangpur Village (UP),30.77954,76.75416
353,Milk Colony Towards Depot 3,30.76521,76.74723
354,Sarangpur Village (Down),30.7802,76.75435
355,Khuda Lahora Bridge,30.77195,76.76956
356,Sarangpur School (Down),30.78267,76.76034
357,Khuda Lahora (Down),30.77572,76.7698
358,Sarangpur School (UP),30.78333,76.75953
359,Sarangpur Barrier (Up),30.78598,76.7566
360,Sarangpur Barrier (Down),30.78638,76.75563
361,Sector 24 Market,30.74595,76.76135
362,Sector 40/38,30.74342,76.73849
363,Sector 28 Market (Up),30.71577,76.80585
364,Sector 7/19,30.73128,76.7995
365,Daffarpur,30.64311,76.8823
366,Ramgarh,30.64676,76.88557
367,Kakrali,30.63736,76.87694
368,Sector 27/28 Panchkula,30.65089,76.88035
369,Sector 26 Polytechnic College Panchkula,30.65761,76.88121
370,Sector 26/27 Outer Panchkula,30.65717,76.88791
371,Sector 26 Panchkula,30.66151,76.88184
372,Madanpur 32 (Up),30.66554,76.88979
373,Madanpur 32 (Down),30.66552,76.89038
374,Sector 24/25 Panchkula,30.66799,76.88066
375,Jal Vayu Tower,30.75362,76.6741
376,Sector 125 (Mohali),30.75667,76.66944
377,Sector 15/11,30.75437,76.77931
378,Sector 11C/10,30.75347,76.78153
379,Sector 18/8,30.73682,76.7941
380,Sector 8/18,30.73792,76.79331
381,Sector 8D/18,30.73958,76.79181
382,Sector 18/17 (Govt. Press),30.74006,76.79106
383,Sector 19/7,30.73097,76.79945
384,Sector 17/18 (Govt. Press),30.73926,76.78872
385,Sector 18 Market (Down),30.73339,76.78867
386,Sector 18 Market (Up),30.73388,76.78798
387,ISBT 43,30.71709,76.74341
388,Sector 51A,30.71141,76.74454
389,Sector 43C/44,30.71515,76.75051
390,Sector 44/43,30.71579,76.75161
391,Sector 52/51,30.7095,76.74149
392,Derri,30.62083,76.69161
393,T-Point Flyover Derri,30.61685,76.69529
394,Sunny-Gilco Park,30.61923,76.70192
395,R.B.P. City,30.62112,76.70694
396,Tangori,30.59169,76.70513
397,Plaksha University,30.63189,76.72698
398,Sector 123 (Mohali),30.76475,76.6681
399,Kharar,30.75163,76.63874
400,Devilal chowk Panchkula,30.68331,76.86726
401,Sector 4 Panchkula,30.69039,76.86107
402,Sector 22/23 Panchkula,30.67898,76.8806
403,Dhakoli Border,30.65806,76.84479
404,Sushma Square,30.64875,76.84351
405,Golden Sand Apartment Dhakoli,30.64677,76.84321
406,Sector 20 Panchkula,30.66839,76.85781
407,ECO City New Chandigarh,30.81707,76.73267
408,MedCity Light,30.8139,76.73884
409,Homi Bhabha Hospital,30.81583,76.7382
410,Omaxe Tower,30.82363,76.73503
411,Mullanpur,30.80163,76.74338
412,Paroul (Up),30.82884,76.7366
413,K.V. School- 29,30.71146,76.79731
414,Sector 29 Market (Up),30.7097,76.79198
415,Sector 29 Market (Down),30.71073,76.79178
416,Tribune Chowk,30.70354,76.7897
417,Sector 31/29 (Tribune),30.70502,76.78882
418,SECTOR 47/46,30.69908,76.76801
419,Sector 46 Market (Up),30.70107,76.76565
420,Industrial Area Phase 2 near PRTC,30.7032,76.78892
421,Fortis Hospital,30.69383,76.73081
422,Mohali Bus Stand,30.69711,76.72695
423,Phase 8/Amb sahib,30.69889,76.7309
424,Sector 68/67,30.68711,76.73196
425,Sector 69/68,30.69032,76.72322
426,Sector 68/69,30.69007,76.72322
427,Panchkula Bus Stand,30.69227,76.85383
428,Sector 18/17,30.73734,76.78611
429,Sector 18/19,30.72825,76.78555
430,Sector 19/18,30.72802,76.7857
431,Sector 19 Market (Down),30.72863,76.79264
432,Sector 20/19,30.72397,76.78806
433,Sector 20B/30A,30.71925,76.7856
434,Sector 30A/20B,30.71911,76.78574
435,Sector 19/20,30.7252,76.78726
436,Sector 20 Market,30.72124,76.78159
437,Sector 19C/27,30.72247,76.79082
438,Sector 27/19C,30.7224,76.79089
439,sector 21/20,30.7246,76.78002
440,G.M.C.H. 32,30.70859,76.78304
441,Sector 29/31 (Tribune) Down,30.70803,76.78484
442,Sector 29/31 (Tribune),30.70814,76.78497
443,Sector 32/30 Hospital,30.7113,76.78155
444,Sector 30/32 Hospital,30.71139,76.78175
445,Sector 31/32 Market,30.7068,76.78021
446,Sector 31 Market,30.70537,76.78011
447,Sector 32/31,30.70607,76.77894
448,K.V. School-31,30.70432,76.77958
449,Sector 32/30D,30.71339,76.7796
450,Sector 19 Market (Up),30.72736,76.79408
451,Sector 19/27,30.72508,76.79494
452,Sector 27/19,30.725,76.79506
453,sector 20/21,30.72361,76.77847
454,Sector 33/20,30.71634,76.77705
455,Sector 20C/30D,30.71566,76.77962
456,Sector 30D/20C,30.71546,76.77982
457,Sector 27 Market (Down),30.72279,76.79879
458,Sector 28/27,30.71989,76.80105
459,Sector 27 Market (Up),30.72459,76.79693
460,Sector 30/27,30.71821,76.79367
461,Sector 27/30,30.71971,76.79228
462,Sector 27/28,30.72084,76.80262
463,Sector 50 Market (Down),30.70046,76.7485
464,Sector 49A/50B,30.69777,76.75163
465,Sector 50D/51,30.7022,76.74481
466,Sector 50B/49A,30.69846,76.75234
467,Sector 50/51,30.70347,76.7463
468,Sector 51/50,30.70356,76.74621
469,YPS CHOWK (Down),30.70591,76.7352
470,YPS Chowk (Up),30.7057,76.73557
471,Sector 51/52,30.70881,76.74051
472,Sector 33D/32A,30.71404,76.7773
473,Sector 37/38,30.74207,76.74892
474,Sector 37 A Bhaskar Chowk,30.74411,76.75217
475,Sector 38 Market,30.74398,76.74525
476,Sector 38/37,30.74048,76.74642
477,Sector 24/37,30.74268,76.75562
478,Sector 37 Market (Up),30.73806,76.74981
479,Sector 37 Market (Down),30.73797,76.74946
480,Sector 24/23 Chandigarh,30.74424,76.76391
481,Sector 16/23,30.7441,76.77085
482,Sector 30 Market,30.71524,76.78794
483,Sector 30/29,30.71318,76.79033
484,Sector 29/30,30.71377,76.79134
485,Sector 32/33,30.7107,76.77224
486,Sector 33/32,30.71079,76.77212
487,Sector 32 Market,30.71051,76.7735
488,Sector 46A/45,30.70689,76.76599
489,Sector 32/31 S.D. College,30.70316,76.77439
490,Sector 46/45,30.70486,76.76293
491,Sector 45/46,30.70502,76.7628
492,Sector 32A/33,30.71396,76.77739
493,Sector 46 Market (Down),30.70228,76.76466
494,Sector 29/28,30.71311,76.7987
495,Sector 28/29,30.71432,76.79767
496,Sector 28 Market (Down),30.71731,76.8035
497,Khuda Lahora (Up),30.77592,76.7699
498,New OPD (Down),30.76213,76.78179
499,New OPD (Up),30.76182,76.78159
500,Sector 44A/43,30.71862,76.75622
501,Punjab Engineering College (PEC),30.7639,76.78535
502,Sector 11A/2 PEC,30.76463,76.78688
503,Sector 2/11A PEC,30.76449,76.78788
504,Sector 11/10,30.758,76.78859
505,Sector 10/11,30.75861,76.78966
506,Sector 11B/10,30.75751,76.78794
507,Sector 2/12,30.76535,76.78824
508,Sector 12/2,30.76548,76.78815
509,Sector 22,30.73031,76.76692
510,Sector 35/22,30.72744,76.76736
511,Sector 34D/35C,30.72058,76.75918
512,Sector 34/35,30.72221,76.76184
513,Sector 35C/34D,30.72016,76.75841
514,Sector 35/34 Light Point,30.72269,76.76284
515,Sector 35/34,30.7235,76.76385
516,Sri Guru Gobind Singh Sr. Sec. School,30.72538,76.76312
517,Sector 38/40,30.7414,76.73997
518,Sector 37/24,30.74123,76.75654
519,Kaimbwala 2,30.75668,76.82146
520,Kaimbwala 1,30.75641,76.82911
521,Khuda Alisher,30.77312,76.80892
522,Punjab Civil Secratariat,30.76268,76.79969
523,Naya Gaon,30.76927,76.79225
524,Sector 10D/11,30.75611,76.78572
525,Sector 23/16,30.74353,76.77107
526,Sector 16 Market (Up),30.74698,76.77654
527,Sector 16 Market (Down),30.74666,76.7768
528,Sector 16/17,30.74208,76.77813
529,Sector 17/16,30.74193,76.77829
