0,1,2
635,Sector 31/29 (Tribune),S246
636,Sector 31/32 Market,S448
637,Sector 31 Market,S16
638,Sector 32/30D,S931
639,Sector 32/30 Hospital,S249
640,Sector 32/31,S181
641,Sector 32/31 S.D. College,S696
642,Sector 32/33,S291
643,Sector 32A/33,S993
644,Sector 32 Market,S365
645,Sector 33/20,S265
646,Sector 33/32,S289
647,Sector 33/34,S392
648,Sector 33/34 Labour chowk,S962
649,Sector 33D/32A,S959
650,Sector 33 Market,S363
651,Sector 34/21,S253
652,Sector 34/33,S393
653,Sector 34/35,S938
654,Sector 34A/35B JW Marriot,S178
655,Sector 34D/35C,S939
656,Sector 34 Market,S362
657,Sector 35/22,S254
658,Sector 35/34,S937
659,Sector 35/34 Liqht Point,S573
660,Sector 35/36 Flower Market,S63
661,Sector 35/36 Kissan bhawan,S678
662,Sector 35B/34A JW Marriot,S179
663,Sector 35C/34D,S936
664,Sector 35 Market (Down),S479
665,Sector 35 Market (Up),S480
666,Sector 36/23,S196
667,Sector 36/23 Kissan bhawan,S679
668,Sector 36/35 Flower Market,S62
669,Sector 36/35 Kissan Bhawan,S341
670,Sector 36/37,S286
671,Sector 36B/36C,S984
672,Sector 36 Market,S372
673,Sector 37/24,S197
674,Sector 37/36,S287
675,Sector 37/38,S38
676,Sector 37/41,S207
677,Sector 37 A Bhaskar Chowk,S987
678,Sector 37 Market (Down),S33
679,Sector 37 Market (Up),S35
680,Sector 38/25,S551
681,Sector 38/25 Light Point,S290
682,Sector 38/37,S37
683,Sector 38/38W,S238
684,Sector 38/39,S195
685,Sector 38/40,S193
686,Sector 38 Market,S360
687,Sector 38w/38,S239
688,Sector 38 West,S174
689,Sector 38 West Light Point,S572
690,Sector 39/38 west,S194
691,Sector 39/40 Towards Sector 25 West.,S549
692,Sector 39/56,S198
693,Sector 39A,S954
694,Sector 39 Market,S632
695,Sector 40/38,S192
696,Sector 40/39,S396
697,Sector 40/41,S209
698,Sector 40C/41,S953
699,Sector 40 Market,S200
700,Sector 4/11,S653
701,Sector 41/37,S208
702,Sector 41/40,S413
703,Sector 41/40 Market,S961
704,Sector 41/42,S31
705,Sector 41A/40B,S960
706,Sector 41 Market Towards 40,S785
707,Sector 41 Market Towards 42,S125
708,Sector 42/43,S65
709,Sector 42/53,S229
710,Sector 42 Market towards ISBT 43,S969
711,Sector 42 Market towards Sector 41,S32
712,Sector 43/42,S64
713,Sector 43/42-,S607
714,Sector 43/44,S83
715,Sector 43/44 near 43 Chowk,S991
716,Sector 43C,S935
717,Sector 43C/44,S946
718,Sector 43 In,S496
719,Sector 43 Out.,S498
720,Sector 44/43,S84
721,Sector 44/45,S282
722,Sector 44/51(Colony No. 5),S344
723,Sector 44A/43,S965
724,Sector 44C Gaushala,S942
725,Sector 44D/51,S992
726,Sector 44 market towards 43,S975
727,Sector 44 Market towards 45,S201
728,Sector 45/44 Towards ISBT 43,S283
729,Sector 45/44 Up Towards Sukhna Lake,S550
730,Sector 45/46,S285
731,Sector 45A/44B,S963
732,Sector 45D/44,S964
733,Sector 45 Market,S203
734,Sector 46/45,S284
735,SECTOR 46/47,S180
736,Sector 46A/45,S968
737,Sector 46 Market (Down),S204
738,Sector 46 Market (Up),S205
739,SECTOR 47/46,S182
740,Sector 47C (Down) (Near Gurudwara),S784
741,Sector 47 Market (Down),S456
742,Sector 47 Market - Up,S153
743,Sector 47 Outer Towards Ramdarbar,S155
744,Sector 48/49 (U.T. Border) (Down),S337
745,Sector 48/49 (UT Border) (Up),S336
746,Sector 48B (Down),S951
747,Sector 48B (UP),S950
748,Sector 48 Market (Down),S787
749,Sector 48 Market (UP),S788
750,Sector 49A/50B,S221
751,Sector 49D/50C (U.T. Border),S986
752,Sector 49 Market (Down),S789
753,Sector 49 Market (UP),S403
754,Sector 4 Panchkula,S300
755,Sector 50/45,S1023
756,Sector 50/51,S308
757,Sector 50B/49A,S359
758,Sector 50C/49D(U.T. Border),S985
759,Sector 50D/51,S1024
760,Sector 50 Market (Down),S402
761,Sector 50 Market (UP),S786
762,Sector 51/44(Colony No. 5),S342
763,Sector 51/50,S237
764,Sector 51/52,S934
765,Sector 51A,S616
766,Sector 51 Market,S260
767,Sector 52/51,S614
768,Sector 52/53,S233
769,Sector 52A Market,S952
770,Sector 53/42,S301
771,Sector 53/52,S244
772,Sector 53A near Mohali Barrier.,S979
773,Sector 53 near school,S973
774,Sector 54/55,S554
775,Sector 55/54,S553
776,Sector 55/56,S240
777,Sector 55/Phase-1,S425
778,Sector 55 Phase 1 (35),S586
779,Sector 56/39,S543
780,Sector 56/55,S241
781,Sector 61/62,S212
782,Sector 62/61,S211
783,Sector 62/63(U.T. Border),S346
784,Sector 63/62(U.T. Border),S345
785,Sector 63/64,S351
786,Sector 63/64 Liqht Point,S708
787,Sector 63/Phase-9,S354
788,Sector 64/63,S225
789,Sector 64 Market/Phase 10,S353
790,Sector 65/Phase 11,S320
791,Sector-66/67 (Mohali),S449
792,Sector 66/81(IISER),S217
793,Sector 66A/82,S219
794,Sector 66/Industrial Area,S404
795,Sector 66 Market,S319
796,Sector 67/66 (Mohali),S411
797,Sector 67/68,S226
798,Sector 67/80,S436
799,Sector 67 Market,S318
800,Sector 68/67,S348
801,Sector 68/69,S243
802,Sector 68/79,S213
803,Sector 69/68,S245
804,Sector 69/70,S394
805,Sector 70/69,S395
806,Sector 7/19,S89
807,Sector-72/75,S565
808,Sector-74/119,S566
809,Sector-75/72,S569
810,Sector 7/8,S467
811,Sector 7/8 Panchkula,S682
812,Sector 79/68,S214
813,Sector 79/80,S223
814,Sector 7 Market,S377
815,Sector 80/67,S437
816,Sector 80/79,S222
817,Sector 81/66(IISER),S218
818,Sector 8/17 Panchkula,S476
819,Sector 8/18,S86
820,Sector 82,S694
821,Sector 82/66A,S220
822,Sector 82/81,S698
823,Sector 82A,S1002
824,Sector 82/Chilla Village.,S699
825,Sector 83/Saini Majra.,S700
826,Sector 8/5,S687
827,Sector 8/7,S468
828,Sector 8/9,S281
829,Sector 8D/18,S989
830,Sector 8 Market,S378
831,Sector 9/16 Panchkula,S202
832,Sector 9/17,S187
833,Sector 9/8,S280
834,Sector 9A Parking.,S707
835,Sector 9D/17,S990
836,Sector 9 Market (Down),S431
837,Sector 9 Market (Up),S147
838,SGGS-26 College,S376
839,SGGS-26 Girls College,S974
850,Sohana Light Point,S570
851,Sports Complex,S686
852,Sports Complex Kajheri,S835
853,"SPORTS COMPLEX, SARANGPUR",S728
854,SPORTS COMPLEX SECTOR 38,S878
855,"SPORTS COMPLEX,SECTOR 56",S883
856,SPORTS COMPLEX SECTOR-7,S765
857,Sri Guru Gobind Singh Sr Sec. School,S619
858,"ST JOSEPH SCHOOL, SECTOR 44",S852
859,ST.STEPHEN SCHOOL SECTOR 45 B,S909
860,Sukhgarh,Sukhgarh
861,Sukhna Lake.,S256
862,Sunny-Gilco Park.,S1005
863,Sushma Square.,S695
864,Tangori,S702
865,Tank Chowk,S266
866,Tanki Mod,S1017
867,TDI CITY,S567
868,Tida Cricket Stadium New,S1014
869,Togan,S1015
870,T-Point Flyover Derri.,S1006
871,Transport Chowk (Down).,S458
872,Transport Chowk (Up).,S457
873,Tribune Chowk,S12
874,Tribune Chowk 1.,S10
875,Tribune Chowk 2.,S11
876,Tribune Chowk / Industrial Phase 1/2,S144
877,"TRIBUNE MODEL SCHOOL, SECTOR-29D",S791
878,U.I.E.T. ACADEMIC BLOCK 1 SECTOR 25,S734
879,U.I.E.T. ACADEMIC BLOCK 2 SECTOR 25,S735
880,U.T. GUEST HOUSE,S481
881,UT Secretariat Towards. High Court,S176
222,GOVT. MODEL HIGH SCHOOL SECTOR 42 B,S886
223,GOVT MODEL HIGH SCHOOL SECTOR-48D,S799
224,"Govt Model High School, Sector 7C, Chandigarh",S818
225,"GOVT MODEL HIGH SCHOOL VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",S807
226,GOVT. MODEL HIGH SCHOOL VILLAGE BADHERI,S887
227,"GOVT MODEL MIDDLE SCHOOL, MODERN COMPLEX (INSIDE), MANIMAJRA",S841
228,"GOVT. MODEL MIDDLE SCHOOL, POCKET NO-10 MANIMAJRA",S842
229,"Govt Model Middle School, Sector 23D",S920
230,"GOVT MODEL MIDDLE SCHOOL, SECTOR 45",S853
231,"Govt Model Middle School, Sector 49D",S922
232,"GOVT MODEL NURSERY SCHOOL, Building No 32, SECTOR-7A",S764
233,"GOVT. MODEL SENIOR SECONDARY SCHOOL, MODERN HOUSING COMPLEX, MANIMAJRA",S847
234,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 35 D",S899
235,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 37B",S901
236,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 39C",S888
237,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 40B",S889
238,"GOVT MODEL SENIOR SECONDARY SCHOOL , SECTOR 44B",S850
239,GOVT MODEL SENIOR SECONDARY SCHOOL.SECTOR 45C,S854
240,"GOVT. MODEL SENIOR SECONDARY SCHOOL , SECTOR 46 D",S858
241,"GOVT MODEL SENIOR SECONDARY SCHOOL, SECTOR-47D",S795
242,"GOVT. MODEL SENIOR SECONDARY SCHOOL, SECTOR 56",S890
243,"GOVT MODEL SENIOR SECONDARY SCHOOL, VILLAGE BEHLANA",S800
244,"GOVT MODEL SR SECONDARY SCHOOL , VILLAGE-KAIMBWALA",S763
245,"GOVT MODEL Sr Sec SCHOOL, DADUMAJRA COLONY",S873
246,"GOVT MODEL Sr Sec SCHOOL, KARSAN RAMDARBAR, PHASE 2 CHANDIGARH",S816
247,GOVT MODEL Sr SEC SCHOOL. KHUDA ALLSHER,S741
248,"GOVT MODEL Sr. Sec SCHOOL, RAIPUR KALAN, CHANDIGARH",S814
249,Govt Model Sr Sec Schoo!. RC1 Maloya,S828
250,"GOVT.MODEL.SR SEC.SCHOOL, SARANGPUR",S738
251,"GOVT MODEL SR SEC SCHOOL , SECTOR - 10A, CHANDIGARH",S746
252,"GOVT MODEL Sr SEC SCHOOL, SECTOR-15C, CHANDIGARH",S752
253,"GOVT MODEL SR SEC SCHOOL, SECTOR-16C, Chandigarh",S753
254,"GOVT MODEL Sr SEC SCHOOL, SECTOR-22A Chandigarh",S755
255,"Goyt. Model Sr. Sec. School Sector-23A, chandigarh",S760
256,"GOVT.MODEL Sr Sec SCHOOL, SECTOR 32 C",S894
257,"GOVT MODEL Sr Sec SCHOOL, SECTOR 33 D",S897
258,"GOVT. MODEL Sr Sec SCHOOL, SECTOR 37 D",S903
259,"GOVT MODEL Sr SEC SCHOOL, SECTOR - 8B CHANDIGARH",S743
260,"GOVT PRIMARY SCHOOL POCKET NO-1, MANIMAJRA",S844
261,GOVT. PRIMARY SCHOOL (RC-3) DHANAS,S727
262,"GOVT. PRIMARY SCHOOL, SECTOR-12, CHANDIGARH",S748
263,"GOVT PRIMARY SCHOOL SECTOR-26(TM), Bapu Dham",S914
264,"GOVT SENIOR SECONDARY SCHOOL, MANIMAJRA TOWN, Chandigarh",S837
265,"GOVT SENIOR SECONDARY SCHOOL, VILLAGE RAIPUR KHURD",S801
266,GOVT SR SEC SCHOOL. KHUDA LAHORA,S739
267,GOVT Sr Sec SCHOOL SECTOR 45 A,S907
268,"GOVT. SR. SEC. SCHOOL. VILLAGE - MAULI JAGRAN, CHANDIGARH",S806
269,Gurudhwara Chowk.,Gurudhwara Chowk
270,"GURU HARKRISHAN PUBLIC SCHOOL, SECTOR 40C",S891
271,"GURUKUL GLOBAL SCHOOL, MANIMAJRA, Chandiqarh",S839
272,Guru Nanak,J003
273,"GURU NANAK KHALSA SENIOR SECONDARY SCHOOL, SECTOR-30",S802
274,Guru Nanak Public School Sector 36 Chandigarh,S929
275,"GYMNASIUM HALL CCA , PEC, SECTOR -12, CHANDIGARH",S749
276,Hallo Majra (Down),S9
277,Hallo Majra (UP),S78
395,"MOTI RAM ARYA SENIOR SECONDARY SCHOOL. SECTOR-27A, Chandigarh",S780
396,Mouli Nabi (Down).,S401
397,Mubarkpur,S270
398,Mullanpur,S154
399,Nabha Sahib,S490
400,Nabha Sahib (Down),S491
401,Nabha Village.,S626
402,Nada Sahib,S120
403,Nada Village.,S563
404,Nandiali,S627
405,Naya Gaon,S261
406,New Airport,S161
407,New Airport Chowk- Mohali (Down),S421
408,New Airport Chowk- Mohali (Up),S419
409,"NEW COMMUNITY CENTRE, SECTOR 56",S881
410,"NEW COMMUNITY CENTRE VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",S809
411,New Creche building near anganwadi centre ramdarbar,S915
412,"New Creche building,. Sector 27C",S921
413,New Maloya Colony.,S259
414,New Maloya Parking.,S600
415,New OPD (Down),S534
416,New OPD (Up),S146
840,"SGGS COLLEGIATE PUBLIC SCHOOL, SECTOR-26, Chandigarh",S775
841,"SHARDA SARVHITKARI MODEL SENIOR SECONDARY SCHOOL, SECTOR 40 D",S882
842,"SHISHU NIKETAN MODEL Sr Sec SCHOOL, SECTOR -22D, Chandigarh",S759
843,"SHIVALIK PUBLIC SCHOOL, SECTOR 41 B",S892
844,Sialba Majri,S397
845,Singha Devi,S562
846,Singhpura (Down),S157
847,Singhpura (UP),S159
848,Siyonk/Soonak.,Siyonk/ Soonak
849,Sohana,S97
24,Amity University.,S1001
25,"Anganwadi 2 Creche near civil dispensary, Daddu majra",S834
26,"Anganwadi Building no 1, Maloya Colony Chandigarh",S826
27,"Anqanwadi Buildinq no 1 Near Police Post, Sector 56 Chandigarh",S822
28,Anganwadi Building no 2-3 New Indira Colony.,S927
29,"Anganwadi Building no 2, Maloya Colony Chandigarh",S825
30,"Anganwadi Building no 3, Maloya Colony Chandigarh",S827
31,Anqanwadi centre near sant nirankari bhawan ramdarbar,S917
32,Anganwadi centre near vishvakarma mandir ramdarbar,S916
33,"ANGANWADI CENTRE NO-1 SECTOR-26, Bapu Dham",S913
34,Anganwadi Centre Ramdarbar,S925
35,"Anganwadi composite. building no 3/4 near Community Centre, Daddu majra",S833
36,"Anganwadi composite. building no 3 near Community Centre, Daddu majra",S831
37,"Anqanwadi composite building no 4 near Community Centre, Daddu majra",S832
38,"Anganwadi cum Creche Centre Building no 2, Sector 56 Chandigarh",S824
39,"ANKUR NURSERY SCHOOL PANJAB UNIVERSITY, SECTOR 14, CHANDIGARH",S750
40,Aroma,S48
86,"COMMUNITY CENTRE, BHAGWANPUrA. VI!L AGE KISHANGARH, Chandigarh",S836
87,"COMMUNITY CENTRE. MAUL JAGRAN COLONY, PART 2, CHANDIGARH",S811
88,"Community Centre near anganwadi composite building no 4, Daddu. majra(Harijan Dharamshala)",S830
89,"COMMUNITY CENTRE. NEAR SHIVALIK PARK, MANIMAJRA",S846
90,Community Centre near small flats Maloya.,S829
91,"COMMUNITY CENTRE, NEAR THAKURDWARA MANIMAJRA",S843
92,"COMMUNITY CENTRE, PHASE 2, RAMDARBAR, CHANDIGARH",S817
93,"COMMUNITY CENTRE, SARANGPUR",S736
116,"DAV MODEL SR SEC SCHOOL, SECTOR-15A, Chandigarh",S751
117,DAV MODEL Sr SEC SCHOOL SECTOR - 8C. CHANDIGARH,S744
118,Dayalpura,S385
119,"D C MONTESSORI (SR. SEC SMART) SCHOOL, MANIMAJRA",S845
120,Depot 3 Workshop,S577
121,Depot 4,S427
122,Dera Bassi,S23
123,Derri,S440
124,Derri Parking,S576
125,Desu Majra,S166
126,Devilal chowk Panchkula,S321
161,"G.M.S.S.School, Sector 20D, Chandigarh",S819
162,"G.M.S.S.SCHOOL. SECTOR-21A, Chandigarh",S773
163,"G.M.S.S.SCHOOL, SECTOR-27C, Chandigarh",S781
164,"G.M.S.S.SCHOOL, TIMBER MARKET, SECTOR-26 Chandigarh",S778
165,"G.M.S.S.School, Village Dhanas",S722
166,Golden Sand Apartment Dhakoli,S671
167,Golf Range,S681
168,"GOVERNMENT COLLEGE OF COMMERCE & BUSINESS ADMINISTRATION, SECTOR 50-C",S861
169,GOVERNMENT HIGH SCHOOL SECTOR 52,S865
170,GOVERNMENT HIGH SCHOOL (SMART) SECTOR 50 B,S862
171,"GOVERNMENT MODEL HIGH SCHOOL, SECTOR 49 D",S860
172,GOVERNMENT MODEL SENIOR SECONDARY SCHOOL RC-1 SMALL FLATS MALOYA,S866
173,Govind Vihar,S471
174,"GOVT COLLEGE OF EDUCATION, SECTOR-20D, Chandigarh",S772
175,"Govt High School and Community Centre, New Indira Colony",S924
176,"GOVT HIGH SCHOOL HALLOMAJRA, CAMPUS 2 INDUSTRIAL AREA, PHASE-1",S803
177,GOVT HIGH SCHOOL MALOYA COLONY,S868
196,"Govt Model High School, kishangarh.",S821
197,"GOVT MODEL HIGH SCHOOL MAKHAN MAJRA, CHANDIGARH",S813
198,"GOVT MODEL HIGH SCHOOL MAULI JAGRAN COLONY, CHANDIGARH",S810
199,"GOVT MODEL HIGH SCHOOL NEAR BUS STAND, MANIMAJRA",S840
200,Govt Model High School Pocket no 1,S928
201,"GOVT. MODEL HIGH SCHOOL POCKET NO-8, MANIMAJRA",S849
202,"GOVT MODEL HIGH SCHOOL (RC-1), DHANAS",S725
203,"GOVT MODEL HIGH SCHOOL (RC-2), DHANAS",S726
349,Lakhnaur (DC Office Mohali),S272
350,Landran (Down),S123
351,Landran Parking,S597
352,Landran (Up),S124
353,"LIBRARY NEAR GOVT Sr Sec SCHOOL, DADUMAJRA COLONY",S872
354,Lohgarh,S454
355,LOHIA INTERNATIONAL SCHOOL. MANIMAJRA,S848
356,Madanpur 32 (Down),S489
357,Madanpur 32 (Up),S488
358,Madanpur (Down),S258
359,Madanpur (Up),S257
882,UT Secretariat Towards ISBT 43,S177
883,"VACANT FLAT, IN PART 2, MAULI JAGRAN, CHANDIGARH",S812
884,Victoria Enclave Zirakpur,S625
885,vikasnagar,S564
886,Vikas Nagar.,S381
887,"XEN HORTICULTURE DIVISION, SECTOR - 23C",S761
888,YPS CHOWK (Down),S98
889,YPS Chowk (Up),S542
890,YPS/Sector 52/61,S100
891,YPS/Sector 61/52,S99
892,Zirakpur Bus Stand,S609
893,Zirakpur (Down),S45
894,Zirakpur Parking,S631
895,Zirakpur/S/Vihar,S391
896,Zirakpur (Up),S46